2019/7/16	Contact - List - Half-1-2 - Shanghai Greenland Shenhua-Henan Jianye		16	7	2019														
																			
Players	Time (period - mm:ss't)	Player2	Ball touch	Neutral touch	Simultaneous event	With what	Spin	Following event 	Loss and won	Loss-Gain distance	Distance	Duration	Speed	Distance to goal	Distance to referee	Angle	Direction	Zone	End zone
Yunding C. (28)	1 - 02:29'3	Yunding C. (28)	Reception	-	-	-	-	Running with ball	-	0.8	0.8	00:01'0	2.7	42.5	18.5	-41	-	E 1	E 1
Yunding C. (28)	1 - 02:30'3	Yunding C. (28)	Running with ball	-	-	-	-	Running with ball	-	0.5	0.5	00:00'6	3.2	42.8	18.3	-41.97	-	E 1	E 1
Yunding C. (28)	1 - 02:30'9	-	Running with ball	-	-	-	-	Out for throw-in	Indiv. loss of poss.	5.2	5.2	00:01'4	13.4	43	19.2	-41.32	-	E 1	E 1
Du C. (07)	1 - 02:42'0	Shangyuan (26)	Pass	-	Throw-in	Two hands	-	Reception	-	10.2	10.2	00:01'1	33.2	88.3	28.4	34.36	-	E 1	F 1
Shangyuan (26)	1 - 02:43'1	Shangyuan (26)	Reception	-	-	-	-	Clearance	-	3.6	3.6	00:01'3	10	94.1	31.2	27.95	-	F 1	F 1
Shangyuan (26)	1 - 02:44'4	Zhu C. (05)	Clearance	-	-	-	-	Clearance	Indiv. loss of poss.	39.5	39.5	00:02'8	50.8	94.9	32.8	25.87	-	F 1	C 1
Zhu C. (05)	1 - 02:47'2	Shin Wook (20)	Clearance	-	-	Header	-	Reception	Indiv. gain of poss.	18.4	18.4	00:01'4	47.3	57.8	12.1	-67.45	-	C 1	D 2
Shin Wook (20)	1 - 02:48'6	Zhou D. (08)	Reception	-	-	-	-	Pass	Indiv. loss of poss.	3.8	3.8	00:01'1	12.5	39.7	9.9	-64.47	-	D 2	D 2
Zhou D. (08)	1 - 02:49'7	Han Xuan (04)	Pass	-	-	-	-	Pass	Indiv. gain of poss.	10.1	10.1	00:01'3	28.1	69.1	7	69.97	-	D 2	E 2
Han Xuan (04)	1 - 02:51'0	Zhong (30)	Pass	-	-	-	-	Reception	-	12.7	12.7	00:01'2	38	76.9	15.2	73.63	-	E 2	D 2
