2019/7/16	Contact - List - Half-1-2 - Shanghai Greenland Shenhua-Henan Jianye		16	7	2019														
																			
Players	Time (period - mm:ss't)	Player2	Ball touch	Neutral touch	Simultaneous event	With what	Spin	Following event 	Loss and won	Loss-Gain distance	Distance	Duration	Speed	Distance to goal	Distance to referee	Angle	Direction	Zone	End zone
Shilin (37)	1 - 48:47'5	Shilin (37)	Running with ball	-	-	-	-	Pass	-	0.3	0.3	00:00'5	2.2	63.4	25.5	76.73	-	C 3	C 3
Shilin (37)	1 - 48:48'0	Jiang S. (04)	Pass	-	-	-	-	Reception	-	12.3	12.3	00:01'4	31.8	63.3	25.3	77.11	-	C 3	C 2
Jiang S. (04)	1 - 48:49'4	Jiang S. (04)	Reception	-	-	-	-	Pass	-	1.1	1.1	00:01'1	3.7	59.3	18.8	-87.24	-	C 2	C 2
Jiang S. (04)	1 - 48:50'5	Jiajun (23)	Pass	-	-	-	-	Reception	-	19.5	19.5	00:01'6	43.9	60.2	20.4	-86.18	-	C 2	C 1
Jiajun (23)	1 - 48:52'1	Jiajun (23)	Reception	-	-	-	-	Pass	-	2.4	2.4	00:01'5	5.7	64.5	27.8	-63.23	-	C 1	C 1
Jiajun (23)	1 - 48:53'6	Shin Wook (20)	Pass	-	-	-	-	Reception	-	46	46	00:02'7	61.3	63.2	26.4	-62.8	-	C 1	E 3
Shin Wook (20)	1 - 48:56'3	Shin Wook (20)	Reception	-	Ground duel	Chest	-	Running with ball	-	2.1	2.1	00:01'2	6.3	26.4	17.7	72.8	-	E 3	E 3
Shin Wook (20)	1 - 48:57'5	Shin Wook (20)	Running with ball	-	-	-	-	Pass	-	1.4	1.4	00:00'6	8.2	26.8	13.7	77.26	-	E 3	E 3
Shin Wook (20)	1 - 48:58'1	Qian J. (26)	Pass	-	-	-	-	Pass	-	5.6	5.6	00:00'9	22.5	26.9	11.8	80.15	-	E 3	E 3
Qian J. (26)	1 - 48:59'0	Zhong (30)	Pass	Gaining(30.Zho)	-	-	-	Neutral contact	-	25.6	3.4	00:00'2	61.4	30	5.8	89.62	-	E 3	E 3
Zhong (30)	1 - 48:59'2	Shilin (37)	Neutral contact	-	-	-	-	Reception	-	22.1	22.1	00:01'8	44.3	76.9	9.2	-83.73	-	E 3	E 4
Shilin (37)	1 - 49:01'0	Shilin (37)	Reception	-	-	-	-	Running with ball	-	1.4	1.4	00:00'4	12.2	34	28.6	43.33	-	E 4	E 4
Shilin (37)	1 - 49:01'4	Shilin (37)	Running with ball	-	-	-	-	Cross	-	1.7	1.7	00:01'0	6.1	34.6	29.1	41.37	-	E 4	E 4
Shilin (37)	1 - 49:02'4	-	Cross	-	-	-	-	Out for goal kick	-	41.3	41.3	00:03'0	49.6	34.7	28.7	38.56	-	E 4	F 2
Yan Wu (17)	1 - 49:30'6	-	Neutral contact	-	Goal kick	-	-	End of half	-	4663.7	4663.7	00:03'7	140	100.3	45.5	39.71	-	F 2	-
Karanga (37)	2 - 00:00'3	Shangyuan (26)	Pass	-	Kick-off	-	-	Pass	-	19.9	19.9	00:01'9	37.6	51.9	11.1	89.45	-	C 2	E 3
Shangyuan (26)	2 - 00:02'2	Zhong (30)	Pass	-	-	-	-	Reception	-	8.7	8.7	00:01'4	22.4	71.7	22.7	-88.28	-	E 3	D 3
Zhong (30)	2 - 00:03'6	Zhong (30)	Reception	-	-	-	-	Pass	-	2.7	2.7	00:01'0	9.6	66.2	18	-79.31	-	D 3	D 3
Zhong (30)	2 - 00:04'6	Lu Y. (27)	Pass	-	-	-	-	Reception	-	25	25	00:01'6	56.3	67.4	20	-75.51	-	D 3	C 4
Lu Y. (27)	2 - 00:06'2	Lu Y. (27)	Reception	-	-	-	-	Running with ball	-	5.3	5.3	00:01'0	19.2	58.7	21.2	-60.07	-	C 4	C 4
Lu Y. (27)	2 - 00:07'2	Lu Y. (27)	Running with ball	-	-	-	-	Pass	-	3.6	3.6	00:00'6	21.8	53.6	18.9	-58.41	-	C 4	C 4
Lu Y. (27)	2 - 00:07'8	Ivo (29)	Pass	-	-	-	-	Reception	-	29.3	29.3	00:03'3	32	50.2	17.7	-57.29	-	C 4	A 4
Ivo (29)	2 - 00:11'1	Ivo (29)	Reception	-	-	-	-	Pass	-	2.3	2.3	00:00'9	9.1	36.2	25.9	-22.1	-	A 4	A 4
Ivo (29)	2 - 00:12'0	Lu Y. (27)	Pass	-	-	-	-	Reception	-	13.2	13.2	00:02'2	21.5	34.4	24.5	-19.7	-	A 4	B 4
Lu Y. (27)	2 - 00:14'2	Lu Y. (27)	Reception	-	-	-	-	Pass	-	0.9	0.9	00:00'7	4.7	37.2	17.3	-40.42	-	B 4	B 4
Lu Y. (27)	2 - 00:14'9	Karanga (37)	Pass	-	-	-	-	Pass	-	11.9	11.9	00:01'0	42.7	36.6	17.4	-41.45	-	B 4	B 3
Karanga (37)	2 - 00:15'9	Shilin (37)	Pass	-	-	-	-	Clearance	Indiv. loss of poss.	9.6	9.6	00:00'9	38.2	25.2	9.3	-47.89	-	B 3	B 4
Shilin (37)	2 - 00:16'8	Shin Wook (20)	Clearance	-	-	-	-	Pass	Indiv. gain of poss.	29	29	00:02'7	38.7	91.2	18.7	33.84	-	B 4	C 3
Shin Wook (20)	2 - 00:19'5	Chen (25)	Pass	-	-	Header	-	Pass	Indiv. loss of poss.	15.3	15.3	00:02'0	27.6	64.4	11.6	77.05	-	C 3	D 3
Chen (25)	2 - 00:21'5	Zhu C. (05)	Pass	-	-	-	-	Pass	Indiv. loss of poss. - Indiv. gain of poss.	30.5	30.5	00:02'3	47.7	57.7	24.3	-75.91	-	D 3	B 2
Zhu C. (05)	2 - 00:23'8	Yunding C. (28)	Pass	-	-	Header	-	Reception	Indiv. gain of poss.	29.2	29.2	00:03'5	30.1	75.2	11.9	-84.46	-	B 2	C 1
Yunding C. (28)	2 - 00:27'3	Yunding C. (28)	Reception	-	-	-	-	Running with ball	-	3.7	3.7	00:00'6	22.1	64.3	27.6	-60	-	C 1	C 1
Yunding C. (28)	2 - 00:27'9	Yunding C. (28)	Running with ball	-	-	-	-	Running with ball	-	2.9	2.9	00:00'5	20.9	62.4	28.4	-59.82	-	C 1	D 1
Yunding C. (28)	2 - 00:28'4	Yunding C. (28)	Running with ball	-	-	-	-	Running with ball	-	3.6	3.6	00:00'6	21.6	59.7	27.2	-61.29	-	D 1	D 1
Yunding C. (28)	2 - 00:29'0	Yunding C. (28)	Running with ball	-	-	-	-	Running with ball	-	2.8	2.8	00:00'6	16.9	56.2	24.9	-60.7	-	D 1	D 1
Yunding C. (28)	2 - 00:29'6	Yunding C. (28)	Running with ball	-	-	-	-	Running with ball	-	10.2	10.2	00:01'6	22.8	53.6	23.6	-59.51	-	D 1	D 1
Yunding C. (28)	2 - 00:31'2	Yunding C. (28)	Running with ball	-	-	-	-	Running with ball	-	2.2	2.2	00:00'6	13	48.6	24.6	-49.59	-	D 1	E 1
Yunding C. (28)	2 - 00:31'8	Yunding C. (28)	Running with ball	-	-	-	-	Running with ball	-	1	1	00:00'5	7.1	47.3	23.4	-47.48	-	E 1	E 1
Yunding C. (28)	2 - 00:32'3	Yunding C. (28)	Running with ball	-	-	-	-	Pass	-	3.8	3.8	00:01'3	10.4	46.4	21	-47.97	-	E 1	D 1
Yunding C. (28)	2 - 00:33'6	Qian J. (26)	Pass	-	-	-	-	Reception	-	14.7	14.7	00:01'2	44	45.5	15.9	-52.5	-	D 1	D 2
Qian J. (26)	2 - 00:34'8	Qian J. (26)	Reception	-	-	-	-	Pass	-	2.9	2.9	00:01'2	8.8	47.5	11.3	-70.46	-	D 2	D 2
Qian J. (26)	2 - 00:36'0	Yunqiu (16)	Pass	-	-	-	-	Reception	-	34.5	34.5	00:01'8	69	47.1	12.4	-73.99	-	D 2	D 4
Yunqiu (16)	2 - 00:37'8	Yunqiu (16)	Reception	-	-	Chest	-	Pass	-	3.4	3.4	00:01'0	12.4	53.2	34.8	66.42	-	D 4	D 4
Yunqiu (16)	2 - 00:38'8	Shilin (37)	Pass	-	-	-	-	Cross	-	21.4	21.4	00:03'1	24.9	51.6	33.5	63.14	-	D 4	E 4
Shilin (37)	2 - 00:41'9	Shangyuan (26)	Cross	-	-	-	-	Clearance	Indiv. loss of poss.	31.1	31.1	00:01'6	70	38.6	29.8	41.12	-	E 4	F 3
Shangyuan (26)	2 - 00:43'5	Moreno (10)	Clearance	-	-	Header	-	Reception	Indiv. loss of poss. - Indiv. gain of poss.	5.3	5.3	00:00'6	31.8	95.1	15	-78.02	-	F 3	F 2
Moreno (10)	2 - 00:44'1	Shangyuan (26)	Reception	Gaining(26.Sha)	-	-	-	Neutral contact	Indiv. loss of poss. - Indiv. gain of poss.	5.9	3.7	00:01'0	13.3	9.4	15.2	-70.8	-	F 2	F 3
Shangyuan (26)	2 - 00:45'1	Chen (25)	Neutral contact	-	Tackle	-	-	Clearance	Gaining neutral touch	2.3	2.3	00:01'1	7.4	96.9	14	-86.47	-	F 3	F 3
Chen (25)	2 - 00:46'2	Qian J. (26)	Clearance	-	-	-	-	Pass	Indiv. loss of poss. - Coll. gain of poss.	19.5	19.5	00:02'0	35.1	99.1	15.6	-80.38	-	F 3	E 2
Qian J. (26)	2 - 00:48'2	Yunding C. (28)	Pass	-	-	Header	-	Reception	Indiv. gain of poss.	14.6	14.6	00:01'7	30.8	24.7	8	-74.28	-	E 2	E 1
Yunding C. (28)	2 - 00:49'9	Yunding C. (28)	Reception	-	-	-	-	Cross	-	2.4	2.4	00:01'2	7.2	29.8	22.8	-45.14	-	E 1	E 1
Yunding C. (28)	2 - 00:51'1	Bassogog C. (10)	Cross	Gaining(10.Bas)	-	-	-	Neutral contact	Indiv. loss of poss.	25	3	00:00'3	36	31.6	21.2	-47.95	-	E 1	E 2
Bassogog C. (10)	2 - 00:51'4	Yan Wu (17)	Neutral contact	-	-	-	-	High catch gk	Gaining neutral touch	22	22	00:03'3	24	85.4	18.9	49.1	-	E 2	F 2
Yan Wu (17)	2 - 00:54'7	Yan Wu (17)	High catch gk	-	-	Two hands	-	Foot clearance gk	Coll. gain of poss.	14.1	14.1	00:14'0	3.6	103.9	25.4	9.27	-	F 2	F 2
Yan Wu (17)	2 - 01:08'7	Karanga (37)	Foot clearance gk	-	-	-	-	Reception	-	59.8	59.8	00:02'9	74.3	89.8	32	59.9	-	F 2	B 1
Karanga (37)	2 - 01:11'6	-	Reception	-	Air duel	Header	-	Out for throw-in	Indiv. loss of poss.	18.1	18.1	00:03'6	18.1	40	26.2	52.01	-	B 1	B 1
Jiajun (23)	2 - 01:19'9	Qian J. (26)	Pass	-	Throw-in	Two hands	-	Reception	-	7.4	7.4	00:01'0	26.6	94.8	24.7	-25.72	-	B 1	B 1
Qian J. (26)	2 - 01:20'9	Qian J. (26)	Reception	-	-	-	-	Pass	-	0.4	0.4	00:00'7	1.9	88.4	18.1	-36.19	-	B 1	B 1
Qian J. (26)	2 - 01:21'6	Jiajun (23)	Pass	-	-	-	-	Reception	-	5	5	00:00'8	22.7	88.7	19.3	-35.66	-	B 1	B 1
Jiajun (23)	2 - 01:22'4	Jiajun (23)	Reception	-	-	-	-	Running with ball	-	1	1	00:00'5	7.2	91	24.7	-30.89	-	B 1	B 1
Jiajun (23)	2 - 01:22'9	Jiajun (23)	Running with ball	-	-	-	-	Pass	-	1.2	1.2	00:00'8	5.6	90.1	24.6	-32.15	-	B 1	B 1
Jiajun (23)	2 - 01:23'7	Qian J. (26)	Pass	-	-	-	-	Pass	-	10.6	10.6	00:00'9	42.6	88.9	24.5	-33.77	-	B 1	B 1
Qian J. (26)	2 - 01:24'6	Zhu C. (05)	Pass	-	-	-	-	Pass	-	12.1	12.1	00:01'8	24.3	86.2	18.1	-42.65	-	B 1	A 1
Zhu C. (05)	2 - 01:26'4	Yunqiu (16)	Pass	-	-	-	-	Reception	-	36	36	00:02'2	58.8	98.1	31	-22.08	-	A 1	B 3
Yunqiu (16)	2 - 01:28'6	Yunqiu (16)	Reception	-	-	-	-	Pass	-	7.6	7.6	00:01'6	17	81.5	25.2	70.85	-	B 3	B 3
Yunqiu (16)	2 - 01:30'2	Shilin (37)	Pass	-	-	-	-	Reception	-	18.5	18.5	00:01'8	36.9	75.1	23.6	69.69	-	B 3	C 4
Shilin (37)	2 - 01:32'0	Shilin (37)	Reception	-	-	-	-	Pass	-	7	7	00:01'8	14	64.5	27.5	62.57	-	C 4	C 3
Shilin (37)	2 - 01:33'8	Yunding C. (28)	Pass	-	-	-	-	Reception	-	52.7	52.7	00:03'4	55.8	57.6	22.2	68.68	-	C 3	E 1
Yunding C. (28)	2 - 01:37'2	Yunding C. (28)	Reception	-	-	-	-	Running with ball	-	1.7	1.7	00:00'8	7.7	44.8	24.2	-49.8	-	E 1	E 1
Yunding C. (28)	2 - 01:38'0	Yunding C. (28)	Running with ball	-	-	-	-	Running with ball	-	4.1	4.1	00:00'8	18.5	43.2	21.9	-49.04	-	E 1	E 1
Yunding C. (28)	2 - 01:38'8	Yunding C. (28)	Running with ball	-	-	-	-	Running with ball	-	3.6	3.6	00:00'7	18.7	39.2	18.9	-47.48	-	E 1	E 1
Yunding C. (28)	2 - 01:39'5	Yunding C. (28)	Running with ball	-	-	-	-	Running with ball	-	10.3	10.3	00:01'5	24.6	35.9	17	-45.34	-	E 1	F 1
Yunding C. (28)	2 - 01:41'0	Du C. (07)	Running with ball	Gaining(07.Du)	-	-	-	Neutral contact	Indiv. loss of poss.	11.4	8.6	00:01'2	25.7	27.7	16.3	-34.09	-	F 1	F 1
Du C. (07)	2 - 01:42'2	Ivo (29)	Neutral contact	-	Tackle	-	-	Pass	Gaining neutral touch	2.8	2.8	00:01'6	6.4	100.2	17.7	18.52	-	F 1	F 2
Ivo (29)	2 - 01:43'8	Du C. (07)	Pass	-	-	-	-	Reception	Coll. gain of poss.	1.8	1.8	00:01'0	6.6	97.7	13.8	25.49	-	F 2	F 2
Du C. (07)	2 - 01:44'8	Du C. (07)	Reception	-	-	-	-	Pass	-	1.6	1.6	00:01'6	3.6	99.4	15.9	21.28	-	F 2	F 1
Du C. (07)	2 - 01:46'4	Zhu C. (05)	Pass	-	-	-	-	Clearance	Indiv. loss of poss.	37.6	37.6	00:02'2	61.6	98.8	19.1	22.24	-	F 1	D 1
Zhu C. (05)	2 - 01:48'6	-	Clearance	-	-	Header	-	Out for throw-in	Indiv. loss of poss. - Indiv. gain of poss.	10.6	10.6	00:01'5	25.5	52.4	21.6	-60.26	-	D 1	D 1
Du C. (07)	2 - 02:11'3	Jiajun (23)	Pass	-	Throw-in	Two hands	-	Pass	Indiv. loss of poss.	16.6	16.6	00:01'7	35.2	70.6	23.3	50.63	-	D 1	C 1
Jiajun (23)	2 - 02:13'0	Zhu C. (05)	Pass	-	Air duel	Header	-	Pass	Indiv. gain of poss.	9.6	9.6	00:02'2	15.8	67.7	14.7	-55.4	-	C 1	C 1
Zhu C. (05)	2 - 02:15'2	-	Pass	-	-	Header	-	Out for throw-in	Indiv. loss of poss.	11.2	11.2	00:02'1	19.2	77.1	20.1	-46.75	-	C 1	C 1
Du C. (07)	2 - 02:25'3	Zhong (30)	Pass	-	Throw-in	Two hands	-	Pass	-	22.4	22.4	00:01'9	42.5	58.4	24.4	52.72	-	C 1	C 2
Zhong (30)	2 - 02:27'2	Ivo (29)	Pass	-	-	-	-	Pass	-	14	14	00:01'4	36.1	47.7	10.2	74.19	-	C 2	B 2
Ivo (29)	2 - 02:28'6	Zhu C. (05)	Pass	-	-	-	-	Reception	Indiv. loss of poss.	17.1	17.1	00:02'2	27.9	34.2	5.7	69.07	-	B 2	A 2
Zhu C. (05)	2 - 02:30'8	Zhu C. (05)	Reception	-	-	-	-	Clearance	Indiv. gain of poss.	6.9	6.9	00:01'2	20.6	91	21	-41.73	-	A 2	A 2
Zhu C. (05)	2 - 02:32'0	-	Clearance	-	-	-	-	Out for throw-in	Indiv. loss of poss.	19	19	00:02'1	32.5	97.9	24.5	-25.02	-	A 2	A 1
Bassogog C. (10)	2 - 02:39'6	Zhou D. (08)	Pass	-	Throw-in	Two hands	-	Pass	-	10.6	10.6	00:00'9	42.4	40.5	29.7	23.9	-	A 1	B 1
Zhou D. (08)	2 - 02:40'5	Bassogog C. (10)	Pass	-	-	-	-	Reception	-	7.2	7.2	00:00'9	28.8	36.9	20.1	38.73	-	B 1	B 1
Bassogog C. (10)	2 - 02:41'4	Bassogog C. (10)	Reception	-	-	-	-	Pass	-	1.6	1.6	00:00'6	9.3	39.2	27	28.46	-	B 1	B 1
Bassogog C. (10)	2 - 02:42'0	Du C. (07)	Pass	-	-	-	-	Reception	-	16.9	16.9	00:01'8	33.9	38.8	25.9	30.66	-	B 1	C 1
Du C. (07)	2 - 02:43'8	Du C. (07)	Reception	-	-	-	-	Pass	-	0.5	0.5	00:00'6	3	47.2	24.7	50.51	-	C 1	C 1
Du C. (07)	2 - 02:44'4	Zhong (30)	Pass	-	-	-	-	Reception	-	17.2	17.2	00:02'0	30.9	47.1	25.5	51.11	-	C 1	C 2
Zhong (30)	2 - 02:46'4	Zhong (30)	Reception	-	-	-	-	Pass	-	0.3	0.3	00:00'5	2.3	45	18.7	72.41	-	C 2	C 2
Zhong (30)	2 - 02:46'9	Du C. (07)	Pass	-	-	-	-	Reception	-	17.9	17.9	00:01'7	37.9	45.3	19.4	72.65	-	C 2	C 1
Du C. (07)	2 - 02:48'6	Du C. (07)	Reception	-	-	-	-	Pass	-	1.6	1.6	00:01'4	4.1	51.7	34.9	52.78	-	C 1	C 1
Du C. (07)	2 - 02:50'0	Qian J. (26)	Pass	Gaining(26.Qia)	-	-	-	Neutral contact	-	23.4	6.8	00:00'4	61.6	50.5	34	51.68	-	C 1	B 1
Qian J. (26)	2 - 02:50'4	-	Neutral contact	-	-	-	-	Out for throw-in	-	16.5	16.5	00:01'1	54.2	76.7	29	-50.19	-	B 1	B 1
Bassogog C. (10)	2 - 03:19'7	Jiajun (23)	Pass	-	Throw-in	Two hands	-	Clearance	Indiv. loss of poss.	13.9	13.9	00:01'0	50	41.3	29.5	27.99	-	B 1	A 1
Jiajun (23)	2 - 03:20'7	-	Clearance	-	-	-	-	Out for throw-in	Indiv. loss of poss. - Indiv. gain of poss.	13.9	13.9	00:02'1	23.8	96.7	21.1	-24.89	-	A 1	A 1
Bassogog C. (10)	2 - 03:31'6	Du C. (07)	Pass	-	Throw-in	Two hands	-	Reception	-	21.1	21.1	00:02'2	34.5	39.2	30.1	11.63	-	A 1	B 1
Du C. (07)	2 - 03:33'8	Du C. (07)	Reception	-	-	-	-	Pass	-	4.1	4.1	00:01'3	11.3	41.9	23	41.52	-	B 1	B 1
Du C. (07)	2 - 03:35'1	Zhong (30)	Pass	-	-	-	-	Reception	-	9.9	9.9	00:01'0	35.8	43.1	24.3	46.79	-	B 1	C 1
Zhong (30)	2 - 03:36'1	Zhong (30)	Reception	-	-	-	-	Running with ball	-	6.6	6.6	00:01'8	13.3	40.9	18.5	60.05	-	C 1	C 1
Zhong (30)	2 - 03:37'9	Zhong (30)	Running with ball	-	-	-	-	Running with ball	-	0.6	0.6	00:00'7	3.3	45.5	24.7	53.76	-	C 1	C 1
Zhong (30)	2 - 03:38'6	Zhong (30)	Running with ball	-	-	-	-	Running with ball	-	1.6	1.6	00:00'7	8	45.3	24.1	52.98	-	C 1	C 1
Zhong (30)	2 - 03:39'3	Zhong (30)	Running with ball	-	-	-	-	Running with ball	-	2.5	2.5	00:00'7	13.1	43.9	21.8	53.89	-	C 1	C 1
Zhong (30)	2 - 03:40'0	Zhong (30)	Running with ball	-	-	-	-	Pass	-	3.3	3.3	00:00'7	16.8	42.9	19.4	56.98	-	C 1	C 1
Zhong (30)	2 - 03:40'7	Zhou D. (08)	Pass	-	-	-	-	Reception	-	20.3	20.3	00:02'1	34.8	43	17.5	61.35	-	C 1	B 2
Zhou D. (08)	2 - 03:42'8	Zhou D. (08)	Reception	-	-	-	-	Shot not on target	-	7	7	00:01'4	18	32.7	3	88.42	-	B 2	B 3
Zhou D. (08)	2 - 03:44'2	-	Shot not on target	-	-	Left foot	-	Out for goal kick	Indiv. loss of poss.	29.1	29.1	00:01'6	65.4	27.3	3.9	-83.06	Out > 2m	B 3	A 3
Shuai (27)	2 - 04:06'0	Zhong (30)	Pass	-	Goal kick	-	-	Pass	Indiv. loss of poss.	58.9	58.9	00:03'6	58.9	99.8	49.7	52.28	-	A 3	D 3
Zhong (30)	2 - 04:09'6	Yunqiu (16)	Pass	-	Ground duel	-	-	Pass	Indiv. loss of poss. - Indiv. gain of poss.	21.6	21.6	00:03'6	21.6	64.5	8.8	-80.42	-	D 3	D 4
Yunqiu (16)	2 - 04:13'2	Ivo (29)	Pass	-	-	Header	-	Reception	Indiv. loss of poss. - Indiv. gain of poss.	4.9	4.9	00:00'9	19.6	56.6	19.9	62.08	-	D 4	D 4
Ivo (29)	2 - 04:14'1	Shilin (37)	Reception	Gaining(37.Shi)	-	-	-	Neutral contact	Indiv. gain of poss.	8.2	3.1	00:01'0	11	65.8	20.1	-57.32	-	D 4	D 4
Shilin (37)	2 - 04:15'1	-	Neutral contact	-	Tackle	-	-	Out for throw-in	-	5.1	5.1	00:00'4	46.1	54.1	19.4	54.25	-	D 4	D 4
Lu Y. (27)	2 - 04:33'9	Zhu C. (05)	Pass	-	Throw-in	Two hands	-	Pass	Indiv. loss of poss.	42.3	42.3	00:05'8	26.3	66.9	22.2	-54	-	D 4	A 4
Zhu C. (05)	2 - 04:39'7	Shuai (27)	Pass	-	-	-	-	Reception	Indiv. gain of poss.	21.2	21.2	00:02'3	33.2	93.5	31.8	29.95	-	A 4	A 3
Shuai (27)	2 - 04:42'0	Shuai (27)	Reception	-	-	-	-	Pass	-	0.6	0.6	00:01'0	2	99.2	38.9	37.67	-	A 3	A 3
Shuai (27)	2 - 04:43'0	Zhu C. (05)	Pass	-	-	-	-	Reception	-	13.1	13.1	00:01'4	33.8	98.8	39.1	38.07	-	A 3	A 4
Zhu C. (05)	2 - 04:44'4	Zhu C. (05)	Reception	-	-	-	-	Pass	-	2.9	2.9	00:00'7	15.1	97.4	38.9	25.24	-	A 4	A 3
Zhu C. (05)	2 - 04:45'1	Yunqiu (16)	Pass	-	-	-	-	Reception	-	28	28	00:01'5	67.3	94.5	36.4	32.29	-	A 3	C 4
Yunqiu (16)	2 - 04:46'6	Yunqiu (16)	Reception	-	-	-	-	Pass	-	2.3	2.3	00:01'0	8.4	74.2	25.1	49.97	-	C 4	C 4
Yunqiu (16)	2 - 04:47'6	Shilin (37)	Pass	-	-	-	-	Pass	-	15.2	15.2	00:01'4	39.2	71.8	24.1	52.25	-	C 4	C 3
Shilin (37)	2 - 04:49'0	Qian J. (26)	Pass	-	-	-	-	Pass	-	14.4	14.4	00:01'7	30.6	65.8	16.1	68.78	-	C 3	C 3
Qian J. (26)	2 - 04:50'7	Jiajun (23)	Pass	-	-	-	-	Reception	-	18.4	18.4	00:01'2	55.2	61.2	14.7	87.65	-	C 3	C 2
Jiajun (23)	2 - 04:51'9	Jiajun (23)	Reception	-	-	-	-	Pass	-	3.4	3.4	00:01'2	10.1	67.7	27.1	-67.8	-	C 2	C 2
Jiajun (23)	2 - 04:53'1	Yunding C. (28)	Pass	-	-	-	-	Reception	-	23	23	00:02'2	37.7	67	27.1	-64.98	-	C 2	D 1
Yunding C. (28)	2 - 04:55'3	Yunding C. (28)	Reception	-	-	-	-	Running with ball	-	4.5	4.5	00:01'1	14.7	55.3	27.5	-54.79	-	D 1	D 1
Yunding C. (28)	2 - 04:56'4	Yunding C. (28)	Running with ball	-	-	-	-	Running with ball	-	2.6	2.6	00:00'7	13.6	51.7	25.5	-51.91	-	D 1	D 1
Yunding C. (28)	2 - 04:57'1	Yunding C. (28)	Running with ball	-	-	-	-	Pass	-	1.4	1.4	00:00'5	10.2	49.1	23.2	-51.45	-	D 1	D 1
Yunding C. (28)	2 - 04:57'6	Moreno (10)	Pass	-	-	-	-	Reception	-	43.1	43.1	00:02'5	62.1	47.7	21.7	-51.47	-	D 1	E 3
Moreno (10)	2 - 05:00'1	Moreno (10)	Reception	-	-	-	-	Running with ball	-	2.4	2.4	00:01'0	8.7	20.8	16.5	63.8	-	E 3	E 3
Moreno (10)	2 - 05:01'1	Moreno (10)	Running with ball	-	-	-	-	Pass	-	1.7	1.7	00:00'7	8.5	23.3	13.9	63.43	-	E 3	E 3
Moreno (10)	2 - 05:01'8	Cong Z. (39)	Pass	-	-	-	-	Reception	-	10.3	10.3	00:01'3	28.4	24.9	13.4	63.54	-	E 3	E 3
Cong Z. (39)	2 - 05:03'1	Cong Z. (39)	Reception	-	-	-	-	Running with ball	-	2.8	2.8	00:00'7	14.5	29.3	7.5	83.34	-	E 3	E 3
Cong Z. (39)	2 - 05:03'8	Cong Z. (39)	Running with ball	-	-	-	-	Pass	-	5.5	5.5	00:01'0	19.9	28.8	6.1	88.81	-	E 3	E 2
Cong Z. (39)	2 - 05:04'8	Yunding C. (28)	Pass	-	-	-	-	Reception	-	28.5	28.5	00:01'6	64.1	28.8	3.3	-80.21	-	E 2	F 1
Yunding C. (28)	2 - 05:06'4	Yunding C. (28)	Reception	-	-	-	-	Running with ball	-	1.5	1.5	00:01'1	5	33.9	23.9	-26.87	-	F 1	F 1
Yunding C. (28)	2 - 05:07'5	Yunding C. (28)	Running with ball	-	-	-	-	Running with ball	-	1.3	1.3	00:00'6	7.7	32.9	25.5	-24.78	-	F 1	F 1
Yunding C. (28)	2 - 05:08'1	Yunding C. (28)	Running with ball	-	-	-	-	Cross	-	2.6	2.6	00:00'6	15.9	32.6	25	-26.96	-	F 1	E 1
Yunding C. (28)	2 - 05:08'7	Yan Wu (17)	Cross	-	-	-	-	High catch gk	Indiv. loss of poss.	33.1	33.1	00:02'1	56.7	32.6	23.4	-31.6	-	E 1	F 3
Yan Wu (17)	2 - 05:10'8	Yan Wu (17)	High catch gk	-	-	Two hands	-	Foot clearance gk	Indiv. gain of poss.	12.6	12.6	00:17'4	2.6	101.2	20	-56.66	-	F 3	F 3
Yan Wu (17)	2 - 05:28'2	Jiang S. (04)	Foot clearance gk	Gaining(04.Jia)	-	-	-	Neutral contact	-	59.2	52.8	00:03'2	59.4	89.1	39.9	-72.1	-	F 3	C 3
Jiang S. (04)	2 - 05:31'4	Karanga (37)	Neutral contact	-	Air duel	Header	-	Pass	-	6.4	6.4	00:02'8	8.2	69.3	8.7	78.87	-	C 3	C 3
Karanga (37)	2 - 05:34'2	Qian J. (26)	Pass	-	-	-	-	Reception	Indiv. loss of poss.	6.7	6.7	00:01'6	15.1	43.1	7.4	-79.45	-	C 3	C 3
Qian J. (26)	2 - 05:35'8	-	Reception	-	Ground duel	-	-	Foul - dir. free-kick	Indiv. loss of poss. - Indiv. gain of poss.	1.1	1.1	00:00'9	4.6	69.8	12	76.61	-	C 3	B 3
Ivo (29)	2 - 06:12'6	-	Shot not on target	-	Direct free-kick	Left foot	Straight	Crossbar	Indiv. loss of poss.	49.7	37.2	00:01'8	74.3	37.2	13.7	-80.87	Crossbar	C 3	A 3
Jiajun (23)	2 - 06:15'7	-	Clearance	-	-	Header	-	Out for corner	Indiv. loss of poss. - Indiv. gain of poss.	16.6	16.6	00:02'4	24.8	96.1	19.6	-47.91	-	A 2	A 1
Ivo (29)	2 - 06:52'0	Jiang S. (04)	Cross	Gaining(04.Jia)	Corner	Left foot	-	Neutral contact	-	49.8	30.8	00:01'5	73.9	33.3	41.7	1.38	-	A 1	A 2
Jiang S. (04)	2 - 06:53'5	-	Neutral contact	-	Air duel	Header	-	Out for corner	-	19	19	00:02'3	29.7	97.3	13.1	-67.07	-	A 2	A 1
